scope,run_id,run_label,benchmark_name,model,prompt_family_id,experiment_group,game,variant_name,architecture_id,architecture_name,trial_count,run_count,outcome_score_mean,outcome_score_variance,outcome_score_stddev,outcome_score_observations,invalid_rate_mean,invalid_rate_variance,invalid_rate_stddev,invalid_rate_observations,nash_distance_mean,nash_distance_variance,nash_distance_stddev,nash_distance_observations,oracle_accuracy_mean,oracle_accuracy_variance,oracle_accuracy_stddev,oracle_accuracy_observations,value_gap_mean,value_gap_variance,value_gap_stddev,value_gap_observations,blunder_rate_mean,blunder_rate_variance,blunder_rate_stddev,blunder_rate_observations
run,run_20260411_214117_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,connect4,gravity_grid_standard_v1,single,Single Agent,6,1,1.0,0.0,0.0,6,0.0,0.0,0.0,6,,,,0,,,,0,,,,0,,,,0
run,run_20260411_214609_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,connect4,gravity_grid_standard_v1,single,Single Agent,6,1,1.0,0.0,0.0,6,0.0,0.0,0.0,6,,,,0,,,,0,,,,0,,,,0
run,run_20260410_163635_8bf1db5_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,,internal_ai_tournament,connect4,connect4,single_agent,Single Agent,6,1,1.0,0.0,0.0,6,0.0,0.0,0.0,6,,,,0,,,,0,,,,0,,,,0
run,run_20260410_164934_8bf1db5_dirty,blotto_section6_smoke,blotto_section6_smoke,mock-deterministic,,blotto_vs_bots,blotto,discrete_blotto_v1,hierarchical,Hierarchical Team,4,1,0.25,0.1875,0.4330127018922193,4,0.0,0.0,0.0,4,0.24,0.0014499999999999995,0.038078865529319536,4,,,,0,,,,0,,,,0
run,run_20260410_164934_8bf1db5_dirty,blotto_section6_smoke,blotto_section6_smoke,mock-deterministic,,blotto_vs_bots,blotto,discrete_blotto_v1,parallel,Parallel Team,4,1,0.25,0.1875,0.4330127018922193,4,0.0,0.0,0.0,4,0.1525,0.0037687500000000004,0.06139014578904338,4,,,,0,,,,0,,,,0
run,run_20260410_164934_8bf1db5_dirty,blotto_section6_smoke,blotto_section6_smoke,mock-deterministic,,blotto_vs_bots,blotto,discrete_blotto_v1,single,Single Agent,4,1,0.25,0.1875,0.4330127018922193,4,0.0,0.0,0.0,4,0.1425,0.004368749999999999,0.06609652033201142,4,,,,0,,,,0,,,,0
run,run_20260410_165258_8bf1db5_dirty,connect4_section7_smoke,connect4_section7_smoke,mock-deterministic,,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,hierarchical,Hierarchical Team,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,,,,0,20.0,0.0,0.0,1,20010.8,0.0,0.0,1,0.8,0.0,0.0,1
run,run_20260410_165333_8bf1db5_dirty,connect4_section7_smoke,connect4_section7_smoke,mock-deterministic,,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,hierarchical,Hierarchical Team,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,,,,0,20.0,0.0,0.0,1,20010.8,0.0,0.0,1,0.8,0.0,0.0,1
run,run_20260410_165258_8bf1db5_dirty,connect4_section7_smoke,connect4_section7_smoke,mock-deterministic,,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,parallel,Parallel Team,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,,,,0,20.0,0.0,0.0,1,20010.8,0.0,0.0,1,0.8,0.0,0.0,1
run,run_20260410_165333_8bf1db5_dirty,connect4_section7_smoke,connect4_section7_smoke,mock-deterministic,,connect4_oracle_accuracy,connect4,gravity_grid_standard_v1,parallel,Parallel Team,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,,,,0,20.0,0.0,0.0,1,20010.8,0.0,0.0,1,0.8,0.0,0.0,1
